,Grup,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30
0,Tahıllar ve tahıl ürünleri ,8.329011428571121,1.241306292960731,1.4638148840605547,0.4902622871232998,1.6748147390781787,3.5419666602697575,2.1149459953176075,3.0045963536466935,5.4416904838809455,2.1897941004624055,0.8837470122265323,3.4080099056885915,5.432875812938187,1.2922618928258744,4.284549466180154
1,"Canlı hayvanlar, kesilen kara hayvanlarının etleri ve diğer kısımları ",3.038126536066721,4.472200111168667,3.430877504235208,1.520172552471477,0.7240702149901024,0.6089280086525095,0.8105161273736172,1.02061693232951,2.0768585714663557,0.9500306329842667,6.178906789004346,4.423934764805115,4.121422935081354,4.556974395783908,3.732092429706091
2,Balıklar ve diğer su ürünleri ,5.312025739606385,-5.807213900283948,6.0879275110236275,3.939603215882448,2.4283730592503883,2.180839045481786,1.9019156304140195,18.358846967682354,4.935583852337211,-4.3439931501326186,7.409099349417536,8.060269280766775,-3.6756874827600816,-3.738853699115796,8.962728986149227
3,"Süt, diğer süt ürünleri ve yumurtalar ",7.492830231504599,2.1132258820082406,2.0212280990367537,-0.4335761702775498,-0.899574609564624,-0.002354501020140898,2.8116240096409895,3.0840536908237848,4.43424358303075,1.9317546269987496,2.45732675551229,2.2744651469347676,7.517563184623799,1.9344662070510443,-0.3556478757181014
4,Sıvı ve katı yağlar ,4.905880962800557,1.2713047839592706,1.820677899577161,2.4663399125557373,0.6752912854811388,2.2367237496201398,2.72681872301197,7.1014649963729415,3.6472669075849673,2.458411343815614,0.23287823427031729,1.9433407531065372,3.081299481142219,0.56142365313534,2.6716868512663527
5,Meyveler ve sert kabuklu meyveler ,5.510325144570305,9.700970265354659,7.447502418591778,12.690187671147513,-0.2922356920025848,-6.09386082133444,3.1655578516567084,-2.2105007389152553,-2.0491227512347665,8.435650235961468,-5.255633822989802,2.219925255448296,2.5617290504897694,0.16433200123300296,7.418673276852972
6,"Sebzeler, yumrulu sebzeler, plantainler, yemeklik muzlar ve bakliyat ",-8.01569299401197,11.341413339929751,-6.297746940182048,-14.125688346902365,-6.4039819653323615,2.2223528301218876,3.980414744573846,6.396598369079198,15.169263704142043,-4.894245371403871,-1.4617807687528295,24.60942754512645,21.180201323055602,7.7592875321224275,8.437963403658056
7,"Şeker, şekerlemeler ve tatlılar ",5.04165739226019,2.408685108725095,2.35230795203214,1.2160606073096991,-0.05214641020111488,-0.16415243017514625,1.5073815177581773,1.3169442317431557,4.356581888165301,1.2490140050583687,1.2095293977007149,4.146300126699121,0.8693963336577237,0.7971793495802126,1.252556971644525
8,Yemeye hazır gıdalar ve başka yerde sınıflandırılmamış diğer gıda ürünleri ,3.6291535414406884,2.3812669725211677,3.746703005589147,0.9500357381632796,0.107727047541184,3.6419385836907736,2.749184846570163,2.192986714578704,5.063824806106365,1.9501321613810685,0.45076288118588437,2.048613213308337,-0.3735678943841636,0.8189027516469327,6.215509175626055
9,Meyve ve sebze suları ,5.341234764015379,3.5162373029779426,1.6710698001147328,2.357003315957207,2.3968800474461593,1.7035287156639267,4.950810035879094,2.6095131150536632,2.7024925707845204,3.4943173829269147,0.8192981863580862,5.396507245312021,1.931587716501948,1.66812274299728,1.7057231433827758
10,Kahve ve kahve ikameleri ,3.624194649515511,3.3691927617937933,4.496735909262184,3.966355673858324,2.5627277136687887,1.399016600149694,3.243638170630714,1.5953300694848238,3.614602045868631,3.692807831306899,4.555518609147224,3.721573269203504,0.569560395674884,0.7696991154219068,0.8731431536224799
11,"Çay, mate çayı ve demlenerek hazırlanan diğer bitkisel ürünler ",0.7600181975600862,0.4004703956716815,0.896679133821987,0.1743624702819302,0.6774000277471437,2.8292904862367907,5.849480106966198,4.361562886987591,5.809371648397921,2.696645475042425,1.855175581333035,2.602958076149653,1.206518618585939,2.1492783806442706,1.1943337003768706
12,Maden suları ve kaynak suları ,3.739386507383724,2.6578678416650847,0.9854968605326198,3.3111534909501694,1.2797684167510592,3.9293403425798346,3.8547320587783984,3.6335810190794238,2.0656134135947024,1.4132139947165,0.1291974373362148,1.8176009201331,1.117015228067575,3.7709199105694147,1.623837516017712
13,Meşrubatlar,7.2118791421750705,1.2300669655934016,0.6156179935492556,2.5649451811697643,3.7826698136955716,1.4949327114862632,3.5585171171440555,6.139958917896848,2.530435116632068,2.17701764741407,2.376239225201471,1.9827751005553118,3.609679116508002,-0.12079752327920357,1.7493841901681462
14,İçkiler ve likörler ,-3.3306690738754696e-14,0.0,0.0,0.0,0.0,10.722746050334852,4.827591801891762,0.0,0.0,0.0,0.0,3.326496002156354,1.4602825693962318,2.220446049250313e-14,0.0
15,Şaraplar ,1.7470104633781736,3.8687707840139085,0.0,0.0,0.022433749757877486,0.46102611228362456,1.4165158401675093,1.0666606331045658,0.30911044412542665,0.1541622022073419,-0.15590307521226032,0.5218982621652435,0.6786628736677569,1.1001574077909249,0.6678070743160625
16,Biralar ,0.0,0.0,0.0,0.0,0.0,7.323162007542572,1.7956495696485941,0.0,0.0,0.0,0.0,15.480150000000027,0.582827438308664,0.0,0.0
17,Tütün ve tütün ürünleri ,0.0,10.849999999999982,0.0,0.0,0.0,4.929611998452255,6.9055280537329455,0.37965628889768954,1.9646206347001538,3.7195778365712195,0.0,0.16482006176370412,2.8745544402576373,6.775200783506108,0.08844305952058207
18,Giysiler ,4.54570368885574,6.682968793529587,0.791895921490382,-0.01622508050387328,0.6946956974444252,0.8536684533649863,-3.6191383103021058,1.0334548993733872,14.170228561383546,-0.9629064263880216,0.6571428004904734,2.37497863740046,-5.837022657210111,-2.0965860813784043,5.342342995139093
19,Diğer giyim eşyaları ve giyim aksesuarları ,4.104128372766613,3.8273327309414906,1.3817464729876772,0.5138838426926196,0.8128225770817732,1.2713176350416022,-1.03447811820504,1.8483770966437163,0.013675944794555583,-2.202072678365685,3.8172444117927418,0.20153914194900313,-6.515848124258062,-0.3904011517795847,0.4966306985203728
20,"Giyim eşyalarının temizlenmesi, onarımı, tadilatı, dikimi ve kiralanması ",4.060459001966432,-3.352359492248125,-5.444236366083954,-0.479358483457204,-6.875813221312677,-1.0328629016157609,11.62590079124799,8.557835528047963,21.644867170824746,-0.8477903241281726,0.3010445081160551,6.751810137181535,2.861883145683608,2.0777281616067844,2.354963061096149
21,Ayakkabılar ,4.721251006294347,6.913015584745907,2.3464685682266673,-0.06528782781543008,-0.21804664237082827,-0.25660619181088196,-4.691235173360564,2.1122583243029958,8.578370990986528,-0.8410798277432407,-0.6808150428085691,1.5833077127067163,-6.905671250581036,-3.631399807734681,1.7953786157754337
22,Ana ikametgah için kiracılar tarafından ödenen gerçek kiralar ,4.220782643345133,3.6610983570642075,4.30434925297547,3.5997193681023276,4.590043389570941,5.2686019609664125,3.508132862348168,4.801648422266114,3.1456211443673165,3.236752146385524,2.2274281772864946,7.3078261323827,2.909142330612524,2.5871193372227097,2.2950412706474133
23,Konutun bakım ve onarımı için malzemeler ve güvenlik ekipmanları ,8.269612079465794,7.731925179695076,3.2905064392104055,5.515020134435167,2.0768743466168305,1.4730418783496457,1.1498802393937302,0.7455885699770404,1.1292371382354505,-0.29013683377232535,1.893715014512587,2.6306302641613266,2.5090767733592756,1.7301595224041622,2.992698828163398
24,Su temini ,6.735140800228168,1.580272900688584,1.2309565096080055,5.287752396669676,4.587716563050037,1.2065902208431734,1.203586121782707,1.4948607988558127,1.6916950156999455,1.6168243915236413,0.6985110261432004,0.49100236469539205,2.1549949900387055,1.9993288075313531,1.4961633240110128
25,Elektrik ,10.70000000000002,0.0,20.833333333333325,3.44827586206895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-14,6.500000000000039,-1.0233706682591381,18.26800626997187
26,Gaz ,0.803227395676287,0.0628120744201377,0.2622679833159669,0.0,0.0,19.779741737927203,0.9886216363930833,0.14142849677811764,0.6548215272441427,0.05914195549325818,0.6036007709948388,0.3161265100554145,2.7994925707702345,0.591507011337411,30.934653208989936
27,Katı yakıtlar ,8.236350367667056,2.563277786413809,1.8112342775162826,5.595029523431427,1.102781814018794,1.9050434214517464,2.514612496429458,2.0642445303177714,7.777022021477742,2.401442192925951,2.237235759655576,3.8890354955287476,3.301027179361893,1.6756289533122581,2.1113938691303735
28,"Mobilya, mefruşat ve halılar ",3.673720656548074,2.3286367814973508,0.11716540967821043,0.31610856593433656,1.2926686168552637,0.7693881494056587,1.3294743388988284,1.730068037653365,0.2586390431831509,0.13307548077281517,1.343122998725499,4.576687821362313,1.9853330969609395,0.7241971394926994,3.5821681512919312
29,Ev tekstilleri ,28.789701154613077,10.43421793286865,-0.09593657468948136,6.749944653174911,0.998889338700093,0.3697539102879288,1.2042652574301371,0.9759432368531717,1.581067570091732,-0.07323800373431055,1.1367083181276882,2.137601317716409,2.253974129105618,4.504397877747546,3.621463291753435
30,Elektrikli veya elektriksiz büyük ev aletleri ,1.2212907255933159,1.5894335319273756,0.6902826622680713,1.4606901746437195,0.45182880669603076,1.589702851580621,1.3686835948999443,0.5474740492998231,0.7463351331206347,-0.19925042916857372,1.483748984068134,2.8921364341761624,0.6500369482462132,0.7321189882764312,1.5876762838967773
31,Küçük ev aletleri ,5.817021680737944,2.513264225641687,0.9014002036541457,1.6618871108253108,0.6888495511188086,0.5791206159536433,2.81744537849018,1.8177950393453601,1.5109917091674419,-0.19229479297508956,1.110932702325207,1.6915332859474441,0.7202298896144654,1.7769744026908452,1.6063490023213278
32,"Züccaciye, yemek takımı ve ev gereçleri ",4.11658415161118,3.2746774072955898,0.6138633893544077,0.7204897383730868,0.07916270931056513,0.29920908048470807,1.4646426351974995,1.1705585155682652,0.5765493383377729,-0.8735325566169294,2.5423854977656646,2.363988500391212,2.973774639851001,0.9780313542011809,1.5787901784996894
33,Motorlu olmayan ev ve bahçe aletleri ve çeşitli aksesuarlar ,4.669922126051729,2.9131761052989313,0.5952930835714243,2.346973347088044,1.274732034462045,1.3775756977300935,1.229797071134997,0.44171515537252404,1.4414978339552853,0.4492528882291458,3.1342275809485676,2.9995148833721785,2.9953202405784474,1.4969279574341243,1.707399780434704
34,Dayanıklı olmayan ev eşyaları ,6.152583685766455,3.1387761282341664,1.2765080025545883,1.636054805146192,-0.1709035419160121,0.45296719265595087,2.056366120985853,1.1414027389769155,1.9519366238379021,0.26359437711167555,0.8722154580859565,2.325116576796815,1.0298857953914498,1.1759649916866621,1.7429855242498737
35,Ev içi hizmetler ve hanehalkı hizmetleri ,5.876645845648709,5.63902390677431,3.9797909815299626,-1.7525048079176653,-1.690307191434004,6.673734405381837,0.9021188792778467,-1.6397262690558745,6.195847677074551,2.50424508436915,1.7095430520099653,16.12096492689412,2.8515510856372606,0.7102655032123817,0.12932407043191319
36,İlaçlar ,0.028510511701673735,-0.11772724456287076,0.0,0.0,-0.006881295975336155,0.02664850438500732,-0.023992531458238986,0.2407831113605985,0.13424478794212824,-0.015143444199616773,7.162993507829318,11.044313156367735,-0.02781901623829519,3.2491192503721233,11.790767954886782
37,Yardımcı ürünler ,,,,,,,,,,,,,1.6683901282881441,1.5963923027975557,2.910286640194504
