Grup,2026-01-31
Pirinç,34.0596260572116
Un ve diğer tahıllar,23.425241507270165
Ekmek,45.13733372320128
"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",33.876034621183294
Makarna çeşitleri,38.555613729323454
Kahvaltılık tahıl ürünleri,40.35944365569095
Dana eti,51.19626491483271
Kuzu eti,33.589306447255176
Tavuk eti,12.105746671025308
Diğer etler ve yenilebilir sakatatlar,6.541091511776509
"Şarküteri ürünleri (sucuk, sosis, salam vb.)",36.37148608793221
Taze balık,64.9875139503701
Konserve edilmiş veya işlenmiş balık,32.04290814632642
Süt,35.3357490220382
"Diğer süt ürünleri (yoğurt, hazır sütlü tatlı vb.)",34.17712836618107
Peynir,30.157638058834447
Yumurta,22.618194394492818
Tereyağı,39.78451678779371
Margarin,41.345911011728845
"Sıvı yağlar (zeytinyağı, ayçiçek yağı)",35.21267203317508
Taze meyveler,39.130072023142674
Kuru meyve ve sert kabuklu yemişler,36.766517035808135
Taze sebzeler (patates hariç),12.876078427844018
Patates,30.287591311413053
Kuru baklagiller,37.292849206881314
"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",31.10709958530824
Şeker,10.953840490158594
"Reçel, marmelat, bal vb. ürünler",43.47916043700315
Çikolata ve şekerlemeler,27.077583640066692
Dondurma,31.822939046967512
Kahve,47.65522695097268
Çay ve bitki çayları,32.32393390592803
Toz kakao,46.72618798040913
Su ve maden suyu,32.97626539938152
"Alkolsüz içecekler (meşrubat, ayran vb.)",41.52105786745879
Meyve ve sebze suları,43.680537139971484
"Alkollü içecekler (rakı, viski, votka vb.)",18.936422763967208
Şarap,9.749452061515584
Bira,26.088890831828103
Sigaralar,32.22241802427113
Erkek giyim,31.69236582569319
Kadın giyim,32.593745129446575
Çocuk giyim,15.313903188646227
Bebek giyim,6.165936497878177
"Diğer giyim eşyaları ve aksesuarları (kravat, kemer, eşarp vb.)",15.125086430845137
Giyim eşyalarının temizlenmesi ve tadilatı,35.62273934439748
Erkek ayakkabısı,23.61425120877325
Kadın ayakkabısı,17.434619821554808
Çocuk ve bebek ayakkabısı,21.181031134692564
Ayakkabı bakım ve tamiri,38.96983290884886
Gerçek kira,62.56463867243374
Konutun bakım ve onarımı için malzemeler,41.34029263633583
Su (şebeke suyu),31.366535957128793
Elektrik,38.37500000000003
Doğalgaz ve ilgili abonelik ücretleri,24.559368926379378
Tüpgaz (ev tüpü),23.51315535433576
