Grup,2026-04-30
Mevsimlik Ürünler Hariç TÜFE,31.926587021294072
TÜFE B,30.302042962667898
TÜFE C,29.676555400530024
TÜFE D,31.44250555254464
TÜFE E,32.86038241053202
TÜFE F,32.07377027689042
Mallar,29.57496823633603
Enerji,45.080614169953506
Gıda ve alkolsüz içecekler,37.78330796465097
Taze meyve ve sebze,66.88674242084325
İşlenmemiş gıda,44.49804782865545
Diğer işlenmemiş gıda,33.038582549291284
İşlenmiş Gıda,32.40774191547562
Ekmek ve tahıllar,39.7152267010322
Diğer işlenmiş gıda,29.030597357496024
Enerji ve gıda dışı mallar,19.39299892239166
Temel mallar,17.456083832165437
Giyim ve ayakkabı,8.009183925961306
Dayanıklı Mallar (altın hariç),22.150241557213167
Diğer Temel Mallar,18.599601850557022
"Alkollü içecekler, tütün ve altın",33.883725441449705
Hizmet,42.897582046895465
Kira,56.27328088872892
Lokanta ve oteller,36.46121406196055
Ulaştırma hizmetleri,25.37145495341049
Haberleşme hizmetleri,30.766931504178086
Diğer hizmetler,42.34783750992421
